Name,player_id,year,ab,k_percent,bb_percent,xba,xslg,xwoba,xwobacon,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,team_abbrev,xhr,xhr_rate,PC1,PC2,PC3,PC4
"Madden, Ty",680744,2024,91,16.8,7.9,0.254,0.387,0.313,0.338,34.7,8.0,5.3,20.0,28.0,36.0,2.7,37.3,93.670301081,74.2,12.2,28.3,55.2,DET,1.9,0.020879120879120878,-0.36404580794013675,0.29274130999656,-0.6059505969961748,-0.13083037211036613
"Garabito, Gerson",642520,2024,96,19.1,10.4,0.276,0.512,0.385,0.432,44.2,11.7,6.5,22.1,28.6,26.0,3.9,35.1,93.825125867,63.4,12.1,28.0,38.9,TEX,5.1,0.053125,3.315608936850209,-0.7402043707609987,-1.3415496455784377,0.7763530514898488
"Bubic, Kris",663460,2024,112,32.2,4.1,0.191,0.27,0.209,0.305,26.0,2.6,6.5,18.2,14.3,45.5,13.0,28.6,92.231484384,63.3,22.8,35.1,47.3,KC,2.7,0.024107142857142858,-6.588229515725773,1.6382608278743465,-0.04884425792873162,-0.896133502659963
"Vásquez, Randy",681190,2024,391,14.4,6.7,0.306,0.487,0.368,0.404,38.7,8.7,6.3,27.6,26.7,25.5,5.1,39.6,94.432349758,70.6,12.3,27.2,37.1,SD,11.5,0.029411764705882353,3.200940053030494,0.6178268408304145,-1.2483970492200902,-1.3005684503610386
"Varland, Gus",681402,2024,106,23.5,7.0,0.246,0.364,0.294,0.354,38.0,5.1,6.3,26.6,30.4,29.1,1.3,39.2,93.923339351,65.5,18.0,24.5,46.9,CWS,1.9,0.017924528301886792,-0.531959276080092,0.011869054890489755,0.21948234396925004,-0.5474555289343785
"Núñez, Dedniel",673380,2024,127,35.6,5.9,0.186,0.32,0.242,0.349,26.6,10.1,1.3,19.0,25.3,38.0,6.3,38.0,94.547358974,73.0,23.6,39.0,59.8,NYM,2.6,0.02047244094488189,-4.104215344337495,-1.2811214598824678,2.3823616947235795,-0.7613707271241035
"Brasier, Ryan",518489,2024,101,22.7,4.5,0.247,0.396,0.289,0.355,35.0,7.5,6.3,27.5,26.3,28.7,3.8,43.8,94.554402051,73.3,15.6,34.8,40.4,LAD,6.6,0.06534653465346535,0.5859961325988401,-0.6735882130180961,0.35198148263028434,-2.201632217711939
"Roberts, Ethan",681799,2024,107,22.0,8.5,0.257,0.399,0.32,0.373,40.7,7.4,7.4,30.9,33.3,18.5,2.5,43.2,94.862840247,65.8,15.4,25.7,57.4,CHC,2.8,0.02616822429906542,1.3277739221864333,-1.037170428359129,1.0334635509226457,-0.659635432349286
"White, Mitch",669952,2024,92,11.8,11.8,0.286,0.51,0.376,0.389,38.6,8.4,8.4,25.3,19.3,31.3,7.2,42.2,94.431125432,70.8,12.5,27.8,26.9,MIL,3.5,0.03804347826086957,3.4202898454697395,1.3018920379486698,-1.2988913662670596,-0.19058758835463052
"Pepiot, Ryan",686752,2024,481,26.3,8.9,0.216,0.372,0.296,0.355,31.4,9.1,5.0,23.2,34.6,24.9,3.2,37.2,93.814038824,68.1,22.5,28.5,46.9,TB,17.2,0.03575883575883576,-1.293826965117765,-1.8570024517472115,-0.07697433965062186,0.30862958047877026
"Kelly, Joe",523260,2024,119,24.5,11.2,0.238,0.41,0.345,0.405,33.7,12.8,4.7,19.8,18.6,37.2,7.0,43.0,94.621151294,68.3,15.3,23.7,43.1,LAD,3.9,0.03277310924369748,1.1692803424852025,0.4802775689221501,0.6836225903187187,2.0368719430363162
"Mize, Casey",663554,2024,417,17.3,6.4,0.286,0.431,0.334,0.378,32.4,7.9,6.1,28.3,19.2,32.9,4.7,44.6,95.082817876,70.9,14.7,27.3,41.7,DET,12.4,0.02973621103117506,1.9386836400571155,1.5372473474408586,0.5607080685262888,-0.9918537046840781
"Joyce, Ben",690829,2024,124,23.2,9.9,0.211,0.294,0.28,0.299,25.3,4.4,5.5,24.2,13.2,48.4,4.4,37.4,93.832791556,70.3,24.5,25.9,43.1,LAA,0.9,0.007258064516129033,-3.3436929934141,2.2866519265453658,1.083531209937404,0.43627532269818714
"Bradish, Kyle",680694,2024,144,32.5,9.2,0.179,0.291,0.257,0.321,31.9,6.6,5.5,16.5,19.8,42.9,7.7,28.6,92.295026556,58.7,16.7,24.4,52.5,BAL,3.1,0.021527777777777778,-4.7470185483013,1.0416839438511507,-0.25719202205279396,2.239865685913714
"Hanifee, Brenan",669724,2024,114,19.2,5.0,0.241,0.342,0.273,0.315,27.5,4.4,4.4,22.0,22.0,39.6,7.7,36.3,93.210307363,69.5,12.2,26.5,33.9,DET,2.3,0.020175438596491225,-2.186632470850368,2.452450481139667,-1.8409664356530875,-0.5662707406909474
"Crochet, Garrett",676979,2024,555,35.1,5.5,0.204,0.341,0.263,0.375,34.5,9.2,5.5,23.9,23.0,32.8,5.2,38.8,94.146127471,70.4,25.5,33.5,51.5,CWS,15.6,0.02810810810810811,-2.307386445561439,-1.5375563052271253,2.1824668952265607,-1.2880587394494614
"Gasser, Robert",688107,2024,106,14.0,0.9,0.252,0.333,0.266,0.293,34.0,2.1,2.1,28.7,31.9,24.5,8.5,24.5,92.472510549,67.1,18.2,30.2,32.7,MIL,2.0,0.018867924528301886,-3.059387618158511,1.1809426053943275,-3.97320283059242,-3.0708105772604837
"Ferrer, Jose A.",678606,2024,119,19.4,4.7,0.229,0.283,0.256,0.286,21.9,1.0,3.1,28.1,25.0,39.6,2.1,47.9,95.012319895,63.0,13.4,29.4,46.7,WSH,1.0,0.008403361344537815,-2.6878825420945107,3.330222777455218,1.2346248079402535,-0.6784804112633877
"Brooks, Aaron",605156,2024,107,10.1,6.7,0.305,0.529,0.387,0.407,31.6,10.2,8.2,24.5,20.4,33.7,3.1,48.0,95.233301959,71.9,9.2,29.0,45.0,OAK,4.1,0.03831775700934579,4.350656869179521,1.568265448569528,0.25497821837124823,-0.4113775805178847
"Tyler, Kyle",667725,2024,123,17.6,12.7,0.296,0.46,0.375,0.409,32.7,8.2,7.1,27.6,17.3,33.7,6.1,45.9,94.751034286,63.5,12.5,29.6,49.5,MIA,4.2,0.03414634146341464,2.5775407357583418,1.93267024017921,1.2205795232328787,0.7705429582253083
"Kershaw, Clayton",477132,2024,119,18.0,6.8,0.287,0.407,0.329,0.373,38.8,4.1,8.2,27.6,27.6,28.6,4.1,40.8,94.903124433,69.4,13.0,26.5,50.0,LAD,0.9,0.007563025210084034,1.2207429083324417,0.9646685512543217,0.34973540254483393,-1.49853294940763
"Lynn, Lance",458681,2024,458,21.3,8.6,0.262,0.453,0.34,0.397,37.0,10.5,6.5,24.0,27.7,25.7,5.6,39.3,94.259379457,73.4,20.0,26.1,34.5,STL,17.2,0.037554585152838424,1.7507053623311515,-1.1459897900691185,-0.762242768582127,-0.4284711127731643
"Peterson, David",656849,2024,453,19.8,9.0,0.261,0.397,0.329,0.368,35.7,7.3,6.5,25.8,17.1,39.3,3.9,42.7,94.426613853,68.0,16.7,28.8,45.3,NYM,9.2,0.02030905077262693,0.5907673711136168,1.5968708504923663,1.1213230380841863,-0.30948151003964963
"Roycroft, Chris",688297,2024,130,21.3,11.0,0.221,0.299,0.288,0.297,25.7,2.0,5.9,22.8,20.8,38.6,7.9,33.7,93.446520825,62.1,15.0,28.8,37.6,STL,2.5,0.019230769230769232,-3.3231847099090412,2.6199019263356207,-0.9654730677523733,0.7676062650411394
"Chargois, JT",608638,2024,131,20.5,8.9,0.238,0.428,0.323,0.368,38.6,7.9,8.9,20.8,32.7,26.7,3.0,41.6,94.218045545,67.9,14.8,25.7,47.8,SEA,5.9,0.0450381679389313,1.0600875729998678,-1.205948026948956,-0.24863931366524558,0.5246717254381652
"Adams, Austin",613534,2024,152,27.7,12.0,0.204,0.309,0.312,0.345,34.3,4.9,6.9,28.4,24.5,26.5,8.8,31.4,92.641949703,61.9,25.6,23.4,58.0,OAK,3.1,0.020394736842105264,-2.988999993669621,-0.4371221886424106,0.21587823790463445,0.9400055359251335
"Ginn, J.T.",669372,2024,131,20.4,6.3,0.269,0.431,0.329,0.386,34.3,6.9,3.9,32.4,21.6,33.3,2.0,45.1,94.82273402,69.8,17.3,23.5,62.7,OAK,4.2,0.03206106870229008,1.4427613923350429,0.9214821664473689,1.88219894206083,-0.5188491025347933
"Pagán, Emilio",641941,2024,144,27.8,7.0,0.244,0.409,0.308,0.399,36.9,8.7,11.7,28.2,28.2,20.4,2.9,50.5,95.238884216,72.6,26.4,31.6,37.9,CIN,5.7,0.03958333333333333,1.5699488105567683,-2.4833280890774048,2.2913682901904724,-2.063481201309865
"Chirinos, Yonny",630023,2024,127,17.4,9.0,0.248,0.427,0.333,0.358,33.0,7.8,9.7,17.5,33.0,27.2,3.9,35.0,93.547245743,65.5,15.0,27.1,35.3,MIA,6.4,0.05039370078740158,0.5483376092695318,-0.6834135229582845,-2.0587554590790687,0.878870353219122
"Aguiar, Julian",687924,2024,123,13.6,8.6,0.234,0.454,0.34,0.346,31.7,11.5,7.7,13.5,30.8,30.8,5.8,35.6,94.014541373,72.8,15.7,25.2,27.7,CIN,6.5,0.052845528455284556,1.0743873308103589,-0.8533104761665264,-2.8688486977235685,1.3383957636414285
"Javier, Cristian",664299,2024,129,18.0,12.7,0.235,0.407,0.328,0.347,41.3,6.7,7.7,23.1,41.3,18.3,2.9,30.8,93.250004078,66.5,19.1,23.9,43.2,HOU,4.4,0.034108527131782945,-0.007726525202015385,-2.186438253174231,-2.2417899516363198,0.7426222132533646
"Boyd, Matthew",571510,2024,150,27.7,7.8,0.216,0.328,0.274,0.334,36.2,6.7,7.6,25.7,33.3,24.8,1.9,38.1,93.344921238,70.4,20.6,28.7,50.5,CLE,2.4,0.016,-1.9727131302269996,-1.659537257175336,0.40718824966603545,-1.0613623302039499
"Rodríguez, Manuel",655889,2024,137,21.5,7.0,0.235,0.329,0.287,0.321,30.2,2.8,4.7,22.6,26.4,38.7,4.7,34.9,94.094053077,68.2,15.4,28.3,54.1,TB,2.9,0.021167883211678833,-2.37061321841399,1.3496036952976052,-0.011762709464022067,-0.21600139099698518
"Fleming, Josh",676596,2024,123,12.3,10.1,0.257,0.374,0.32,0.318,23.6,3.8,4.7,26.4,21.7,34.0,8.5,33.3,93.077588462,65.6,17.3,34.1,21.1,PIT,2.9,0.02357723577235772,-1.6171012237835236,2.711654438923299,-2.6371156243315568,-0.7803351964614857
"Lovelady, Richard",663992,2024,132,17.7,7.5,0.27,0.416,0.328,0.367,31.5,8.3,2.8,25.0,21.3,35.2,7.4,46.3,95.201703019,69.0,17.3,28.1,39.7,TB,2.9,0.02196969696969697,0.9257060345675536,1.6381036474476658,0.40095538389139196,-0.21897884530114758
"Okert, Steven",595345,2024,139,20.6,10.0,0.23,0.391,0.311,0.35,37.0,8.3,6.5,22.2,31.5,24.1,7.4,29.6,92.501172981,66.7,17.5,22.8,42.6,MIN,5.5,0.039568345323741004,-0.915139092887464,-1.0134968481173057,-2.531352918578262,0.8689083258122379
"Funderburk, Kody",681892,2024,136,19.9,9.3,0.28,0.415,0.351,0.392,35.8,7.3,4.6,30.3,12.8,41.3,3.7,34.9,93.786688333,60.4,16.2,24.1,47.4,MIN,4.1,0.03014705882352941,0.936900523182209,2.7694025870610197,0.5276786170017417,0.6240461222743701
"Sewald, Paul",623149,2024,151,26.1,6.1,0.229,0.409,0.301,0.378,34.9,9.2,8.3,25.7,37.6,16.5,0.9,42.2,94.379078037,72.0,20.4,25.7,40.3,AZ,6.5,0.04304635761589404,0.8231656084567082,-2.813786829531456,-0.045294810525470436,-0.8843289476696702
"Harrison, Kyle",690986,2024,476,22.2,7.9,0.257,0.437,0.338,0.4,34.2,10.1,6.3,26.0,26.8,27.1,3.6,44.1,94.933663315,65.8,17.5,25.6,39.8,SF,17.1,0.035924369747899164,1.8837502337108312,-0.16345055091970123,0.532691495508195,0.24240260784524467
"Pallante, Andre",669467,2024,458,18.5,9.4,0.232,0.328,0.289,0.309,24.4,3.3,5.2,20.0,14.2,48.8,5.2,38.1,93.795724801,67.7,11.6,24.9,42.6,STL,5.7,0.012445414847161572,-2.3215408662408867,3.709037985828534,-0.23930683632198307,1.148742886175004
"Bielak, Brandon",656232,2024,125,10.0,9.3,0.296,0.517,0.385,0.392,36.0,9.9,4.5,25.2,27.0,30.6,2.7,38.7,94.021383243,72.0,12.0,23.7,30.3,OAK,5.5,0.044,3.650924098912287,0.8559343845090387,-2.3521178526971,0.240378635046097
"Wrobleski, Justin",680736,2024,137,16.9,10.4,0.282,0.528,0.381,0.423,44.1,11.7,5.4,26.1,33.3,19.8,3.6,36.9,94.253606727,66.3,16.7,24.5,38.6,LAD,8.7,0.06350364963503649,3.9578584467690785,-1.6760616004848183,-1.552784695470387,0.5747861006398102
"Kahnle, Tommy",592454,2024,158,25.7,10.6,0.203,0.334,0.284,0.328,24.1,6.3,3.6,21.4,17.9,44.6,5.4,32.1,93.096771,69.1,23.0,31.2,58.3,NYY,5.2,0.03291139240506329,-3.739282167077953,0.7946898043894204,0.7962906815822784,1.010554475037596
"Alexander Jr., Scott",518397,2024,139,19.4,9.4,0.247,0.4,0.31,0.362,36.6,12.5,6.3,18.8,9.8,47.3,4.5,44.6,94.843086055,69.3,7.0,31.1,45.2,,0.0,0.0,0.6833412362118843,2.6550900322687037,1.490204259860949,0.4972746150919961
"Treinen, Blake",595014,2024,170,30.4,6.0,0.187,0.295,0.242,0.309,23.5,5.2,4.3,20.0,29.6,35.7,4.3,33.9,93.467248053,61.4,14.7,35.2,50.4,LAD,5.5,0.03235294117647059,-4.551460085403976,0.46030381518737795,0.17954592004719078,0.17717671196405302
"Gonzales, Marco",594835,2024,138,15.2,7.3,0.309,0.535,0.383,0.431,41.0,11.1,9.4,26.5,20.5,26.5,4.3,43.6,95.046505893,70.4,11.6,33.0,30.8,PIT,5.7,0.04130434782608696,4.77226447140882,0.3719670420058433,-0.17027377347054415,-1.7060697443196602
"Bradley, Taj",671737,2024,519,26.6,8.1,0.231,0.418,0.315,0.395,34.9,10.2,9.4,20.9,23.3,32.7,3.2,42.9,94.766375924,71.5,18.8,30.5,47.2,TB,19.5,0.03757225433526012,0.7212665812242995,-1.1235957381823607,1.6338288194801078,-0.18739653649420465
"Nardi, Andrew",677053,2024,188,33.3,8.6,0.194,0.317,0.259,0.346,33.9,7.4,5.8,24.8,38.0,20.7,1.7,34.7,93.378505085,72.4,23.9,33.3,45.3,MIA,7.6,0.04042553191489361,-2.7051712037403095,-3.346908841645942,0.19147545016751907,-1.2070360031978846
"Leiter, Jack",683004,2024,148,17.9,9.8,0.281,0.507,0.376,0.42,35.5,9.9,9.1,25.6,25.6,24.8,4.1,44.6,95.264334831,72.7,19.8,25.0,51.2,TEX,7.7,0.05202702702702703,3.635960916985524,-1.1768394068432284,0.906136976674251,0.22305169381139384
"Tate, Dillon",622253,2024,147,16.5,7.3,0.244,0.361,0.303,0.319,32.2,5.0,4.1,20.7,22.3,43.0,4.1,30.6,93.004608833,63.4,10.7,28.1,38.6,TOR,2.2,0.014965986394557824,-1.8635527918697936,2.788360603785593,-1.8833887991158946,0.29543244826481024
"Peralta, Wandy",593974,2024,143,13.6,8.0,0.265,0.427,0.346,0.357,32.0,8.2,5.7,20.5,17.2,41.8,6.6,43.4,94.761495126,68.9,9.0,34.0,33.9,SD,4.4,0.03076923076923077,1.2037262052751987,2.5887032261455287,-0.4137263924752289,-0.2848737813322731
"Martin, Chris",455119,2024,170,27.8,1.7,0.257,0.37,0.287,0.388,35.8,4.1,4.9,34.1,19.5,32.5,4.1,35.0,93.925161833,68.9,19.4,35.2,35.3,BOS,3.5,0.020588235294117647,-0.8963304625554934,1.1242217319159322,0.6540560917094985,-3.9513723316141016
"Irvin, Cole",608344,2024,450,15.9,5.9,0.291,0.509,0.364,0.41,38.8,12.7,5.5,24.5,26.6,27.2,3.4,40.9,94.409981813,66.4,12.8,25.5,30.7,MIN,22.0,0.04888888888888889,3.7506391463890627,0.16891947757644682,-1.4029011779122749,-0.07548992058425752
"Fairbanks, Pete",664126,2024,166,23.8,9.2,0.256,0.395,0.312,0.378,31.5,5.6,4.8,29.0,27.4,29.8,3.2,41.1,94.449698443,63.3,15.0,22.7,44.4,TB,5.4,0.032530120481927716,0.38838290609513926,0.9799008805920452,0.30531355562279255,0.5874007105666357
"Hernández, Jonathan",642546,2024,160,20.3,14.6,0.242,0.4,0.334,0.359,33.9,8.9,6.5,20.2,21.0,40.3,3.2,39.5,94.181991138,69.0,18.6,30.8,48.5,SEA,4.5,0.028125,-0.0854037169747633,0.38329726754836035,0.9068980620074054,1.3605851070510535
"Gil, Luis",661563,2024,550,26.8,12.1,0.208,0.356,0.302,0.351,33.7,9.5,6.1,22.4,32.6,27.1,2.4,37.4,94.034939077,67.7,21.6,25.5,46.5,NYY,17.9,0.032545454545454544,-1.0596545853406822,-1.747763915370747,0.2705239817748,1.3134379411256842
"Bird, Jake",656234,2024,154,16.8,13.5,0.253,0.43,0.353,0.364,30.4,8.8,7.2,16.8,24.0,35.2,7.2,41.6,94.508409587,62.6,13.7,26.2,41.8,COL,6.7,0.04350649350649351,0.937216098128978,1.031429550747771,-0.5400829517279215,2.6961369331061937
"Scherzer, Max",453286,2024,165,22.6,5.6,0.243,0.399,0.304,0.367,40.5,7.9,4.8,26.2,32.5,22.2,6.3,34.9,93.48110123,72.6,20.3,36.4,47.5,TEX,5.3,0.03212121212121212,-0.6695696838909629,-1.8268766624206048,-0.652419765976384,-2.587766870974295
"Muñoz, Andrés",662253,2024,202,33.2,11.2,0.178,0.308,0.267,0.342,31.0,8.7,2.4,23.0,19.0,41.3,4.8,33.3,92.94803352,62.7,24.3,33.2,60.5,SEA,5.8,0.02871287128712871,-4.250205687693361,-0.13356715290320526,1.8762201583128781,1.1544589030688317
"Boyle, Joe",671212,2024,179,24.8,17.7,0.215,0.324,0.321,0.333,32.5,4.0,4.8,27.0,31.0,28.6,4.8,40.5,93.74519008,62.1,20.9,19.3,56.6,OAK,2.8,0.015642458100558657,-1.770875106450077,0.07794908274509499,0.6545880173210799,2.8226131607176015
"Medina, Luis",665622,2024,156,17.8,11.1,0.257,0.406,0.331,0.358,31.5,8.7,4.7,22.8,33.9,27.6,2.4,44.9,94.833622677,71.1,10.5,25.8,43.0,OAK,3.3,0.02115384615384615,1.1842148199419031,0.11483757626154903,-0.4490849130098586,0.7770411648031937
"Hall, DL",669084,2024,170,22.3,10.7,0.24,0.392,0.325,0.365,28.3,8.7,3.9,23.6,23.6,31.5,8.7,37.8,93.863195285,60.3,14.8,27.4,41.8,MIL,5.5,0.03235294117647059,-0.6469540246231028,1.3061927083073217,-0.6196250071295272,1.5416795215730341
"Woodford, Jake",663765,2024,153,15.6,5.4,0.299,0.483,0.361,0.402,38.8,7.8,8.5,24.8,25.6,29.5,3.9,39.5,94.151237656,65.7,8.5,22.8,29.6,PIT,6.0,0.0392156862745098,3.323577771609146,1.3561794779135647,-1.776744144448035,-0.4367382339074466
"Wood, Alex",622072,2024,158,17.7,10.2,0.302,0.486,0.386,0.431,41.1,8.5,5.4,28.7,24.8,27.9,4.7,48.8,95.94021792,64.4,15.9,19.5,37.0,OAK,5.3,0.03354430379746835,4.533833465137775,0.964915362219408,0.6637298670562604,0.7760224446430106
"Hurter, Brant",676428,2024,167,21.7,3.4,0.203,0.304,0.235,0.283,22.9,4.6,3.1,17.6,27.5,41.2,6.1,36.6,93.860236875,61.9,13.1,29.5,39.5,DET,4.2,0.025149700598802397,-3.994662584538595,2.176923175364934,-1.1418374180523077,0.41166181231663296
"Henry, Tommy",674072,2024,157,16.5,9.9,0.29,0.511,0.384,0.421,34.6,11.5,6.9,26.2,23.8,30.0,1.5,46.2,95.232340698,69.5,10.4,22.9,36.7,AZ,7.6,0.04840764331210191,4.598034299123115,0.6354787460762226,0.020795592403356655,0.8831858704324834
"Cannon, Jonathan",686563,2024,475,17.4,7.7,0.258,0.411,0.322,0.356,38.3,7.3,6.5,25.1,29.0,28.5,3.4,36.3,93.823911325,67.2,14.9,28.6,36.6,CWS,13.0,0.02736842105263158,0.5628747901473097,0.2443122932387142,-1.2478143296969844,-0.7853386390940313
"Garrett, Reed",657585,2024,212,33.6,12.1,0.2,0.307,0.278,0.356,28.0,5.3,4.5,30.3,23.5,31.8,3.8,37.1,93.735074385,64.1,24.0,32.8,56.7,NYM,6.6,0.031132075471698113,-3.156646818166092,-0.3543600535213509,2.2929470057895225,0.1175764578400103
"Estrada, Jeremiah",669093,2024,224,37.3,9.1,0.187,0.28,0.248,0.35,35.8,5.2,6.0,27.6,32.1,26.1,3.0,37.3,93.81656194,72.1,28.2,33.5,54.4,SD,3.8,0.016964285714285713,-3.6791211931142636,-2.6784896368750335,2.2086536010288884,-1.6785799326212847
"Little, Brendon",663893,2024,172,18.7,9.8,0.252,0.381,0.314,0.347,21.9,5.8,2.2,25.5,7.3,52.6,5.8,38.0,93.614875414,67.7,17.1,27.6,55.8,TOR,5.8,0.033720930232558136,-1.546506149109553,3.7547301888364015,1.0202056485016855,1.1942624433832558
"Matz, Steven",571927,2024,171,17.4,7.9,0.269,0.425,0.331,0.369,44.3,7.9,5.0,22.1,26.4,35.7,2.9,30.7,93.058805109,68.1,14.9,25.2,28.4,STL,6.2,0.03625730994152047,0.9116453716543099,0.5110179188372298,-2.463204680600698,-0.322360454034961
"Grove, Michael",675627,2024,191,25.0,7.4,0.222,0.359,0.296,0.348,30.9,9.4,5.8,20.1,24.5,39.6,0.7,33.8,93.625837194,63.9,16.6,28.6,49.2,LAD,5.7,0.029842931937172777,-1.5570571731268767,0.4070912915034527,0.3250318700261143,0.9171415565883849
"Banda, Anthony",607455,2024,185,23.9,8.6,0.227,0.358,0.281,0.342,30.9,6.5,3.6,20.1,26.6,33.1,9.4,38.8,94.107629851,72.2,17.9,31.4,58.8,LAD,4.9,0.02648648648648649,-2.2077997995091563,-0.1917686028679813,0.3437854797437069,-0.06990290550697498
"Vesia, Alex",681911,2024,223,33.1,12.5,0.157,0.319,0.26,0.328,29.3,12.1,3.6,16.4,47.1,12.9,7.9,35.0,93.468041029,70.0,26.2,26.6,43.8,LAD,7.0,0.03139013452914798,-3.586462859289219,-4.720287087294811,-1.3098242227225612,1.8843816205376571
"Moore, Matt",519043,2024,179,19.5,12.4,0.216,0.405,0.318,0.343,38.3,9.2,8.5,17.0,37.6,21.3,6.4,35.5,93.797852941,72.2,23.0,27.5,35.5,LAA,10.5,0.05865921787709497,-0.04589853653245085,-3.127400943197868,-1.949842593864156,0.8986915968292835
"Faucher, Calvin",676534,2024,199,26.8,11.1,0.232,0.331,0.299,0.358,32.4,7.7,2.8,28.2,23.2,33.8,3.5,39.4,94.07162446,67.0,19.6,22.8,50.4,MIA,2.6,0.01306532663316583,-1.2411897315515557,0.6520974944873503,1.055762057020151,0.8787364799653337
"Thorpe, Drew",689672,2024,165,13.2,11.1,0.242,0.43,0.333,0.336,34.5,7.0,9.2,15.5,34.5,26.8,7.0,37.3,93.96069617,71.9,20.0,25.2,32.7,CWS,6.3,0.03818181818181818,0.37182858526028967,-1.1341452436507309,-2.428286197588281,0.8928899132053973
"Harvey, Hunter",640451,2024,197,25.1,7.3,0.279,0.454,0.347,0.435,37.8,9.1,9.8,28.7,16.8,29.4,6.3,48.3,95.304975106,68.9,22.8,31.2,37.9,KC,6.3,0.03197969543147208,2.6323684545025343,-0.05785197151090755,2.285847836761807,-1.6254244109846496
"Cruz, Fernando",518585,2024,250,37.8,12.2,0.223,0.386,0.311,0.46,41.3,9.8,5.6,28.0,25.9,24.5,5.6,44.1,94.842768058,67.4,23.5,29.9,65.2,CIN,8.7,0.0348,0.28613662694201647,-2.577743450863941,3.729707772860593,0.15740594262951524
"Wilson, Justin",458677,2024,192,24.4,6.2,0.245,0.439,0.318,0.394,35.7,11.2,7.7,23.8,25.9,24.5,7.0,41.3,94.558569007,74.6,20.1,33.8,37.1,CIN,8.6,0.04479166666666667,1.0985517025678775,-1.7099841913228768,0.17549451684676218,-1.6691922025788088
"Scott, Christian",681035,2024,180,19.8,6.1,0.249,0.443,0.323,0.375,37.1,10.5,6.3,23.1,34.3,21.7,4.2,35.7,94.142890704,74.8,16.7,25.7,37.1,NYM,6.9,0.03833333333333334,1.2630573954614284,-1.764504682267483,-1.7077554200808018,-0.8226782088450257
"Ottavino, Adam",493603,2024,213,28.6,9.4,0.198,0.318,0.278,0.328,34.0,7.6,5.6,20.1,27.8,29.9,9.0,34.7,93.510556364,59.1,19.5,26.6,40.6,NYM,6.6,0.030985915492957743,-2.8063363875919505,-0.1803377361923976,-0.6258819690983124,1.3384804077142078
"Soto, Gregory",642397,2024,206,26.6,11.1,0.236,0.372,0.322,0.384,34.7,7.6,4.9,24.3,14.6,42.4,6.3,43.8,94.261321127,64.9,17.8,30.2,57.7,BAL,5.4,0.02621359223300971,-0.6138104765950987,1.3571767176904599,2.4281836690306595,0.8075785709737782
"Chafin, Andrew",605177,2024,211,28.5,12.6,0.222,0.347,0.296,0.363,37.5,6.3,7.6,25.0,25.7,31.9,2.8,34.0,93.227958182,66.5,15.5,35.1,54.1,TEX,3.7,0.017535545023696683,-1.8752395531159822,-0.4505746769381396,1.0054713854687796,-0.4174441404732581
"Leiter Jr., Mark",643410,2024,231,33.6,8.6,0.224,0.348,0.288,0.392,33.1,8.3,6.2,30.3,20.0,31.0,4.1,40.0,94.120993819,63.6,23.2,34.6,58.6,NYY,7.0,0.030303030303030304,-1.5230708522764924,-0.5393474140362289,3.0502719262117006,-0.8375397660516539
"Martin, Davis",663436,2024,192,21.4,10.5,0.226,0.363,0.31,0.336,26.2,7.6,4.8,23.4,26.9,33.1,4.1,37.9,93.839174792,69.2,15.9,29.5,51.1,CWS,5.2,0.027083333333333334,-1.4365363123861923,0.3842627044408977,0.003196471624459407,0.7057971988252811
"Myers, Tobias",668964,2024,520,22.3,6.3,0.251,0.419,0.317,0.38,36.4,8.0,6.2,25.9,30.2,24.9,4.5,38.7,94.361623995,69.8,15.4,28.6,36.1,MIL,17.8,0.03423076923076923,0.8586360963789516,-0.5227344621644491,-0.6993123902032468,-1.151495001427435
"Woods Richardson, Simeon",680573,2024,509,20.6,8.4,0.239,0.395,0.311,0.353,35.7,8.2,6.5,24.4,31.4,26.7,2.7,36.2,93.54377801,69.5,17.2,29.4,34.9,MIN,16.5,0.03241650294695481,-0.09221853819936232,-0.7362848171162116,-1.22472895231864,-0.6665398293512701
"Stanek, Ryne",592773,2024,212,27.8,10.4,0.205,0.356,0.288,0.348,34.2,9.6,7.5,21.9,34.2,22.6,4.1,41.8,94.146185862,72.6,27.3,32.0,45.7,NYM,8.4,0.03962264150943397,-1.2894957201059087,-3.204379967348179,0.8286848469910093,-0.2827822459831281
"Brito, Jhony",666745,2024,173,15.7,5.4,0.263,0.4,0.307,0.345,30.1,6.2,6.2,26.0,21.2,37.0,3.4,35.6,93.492310966,72.0,18.8,22.6,19.4,SD,3.7,0.02138728323699422,0.09654870710521876,1.8458949862684588,-2.0782435020022985,-0.9996048422408125
"McCaughan, Darren",670766,2024,171,14.4,7.7,0.273,0.481,0.36,0.38,37.0,8.2,6.8,21.9,35.6,20.5,6.2,39.0,94.275604437,64.2,13.0,23.0,23.7,MIA,10.4,0.0608187134502924,2.7896145471700193,-0.36742767272389354,-3.0529094183414798,0.6157941785902166
"Lee, Dylan",669276,2024,221,31.7,7.1,0.198,0.33,0.25,0.342,35.4,7.5,8.2,19.0,34.0,24.5,6.8,32.0,93.202362621,75.2,26.6,37.4,62.9,ATL,7.3,0.0330316742081448,-3.696014969373078,-3.6835978152991316,0.7308547079111197,-1.660150639711501
