,Name,player_id,year,pa,k_percent,bb_percent,xba,xslg,xwoba,xwobacon,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,iz_contact_percent,team_abbrev,xhr,xhr_rate,PC1,PC2,PC3,PC4,PC5
270,"Marsh, Brandon",669016,2024,476,32.4,10.5,0.236,0.406,0.324,0.439,40.7,10.0,11.9,27.4,21.1,27.0,2.6,47.4,95.182442734,61.4,16.2,23.7,53.1,46.1,83.5,PHI,12.5,0.026260504201680673,2.9551996265876848,0.4244412208426564,-1.4374703902305652,0.5214453214021049,1.3189809715074583
271,"Nootbaar, Lars",663457,2024,405,19.5,12.8,0.264,0.455,0.355,0.395,32.2,9.9,8.1,22.7,19.0,37.0,3.3,49.5,95.717855683,56.5,13.3,16.9,38.7,61.3,86.7,STL,12.0,0.02962962962962963,2.520361635129031,-1.907353200027744,-1.4661107057428961,3.011801952347894,-0.5653614741936015
272,"Rizzo, Anthony",519203,2024,375,17.3,7.2,0.24,0.34,0.297,0.314,31.0,4.0,4.7,28.5,27.0,32.1,3.6,33.2,92.909990255,65.9,10.6,33.6,35.1,64.9,89.4,NYY,7.5,0.02,-1.768372726076902,-1.8976690721632694,0.33410486687113944,-0.37327727309319486,-0.19078749234931638
273,"Lowe, Brandon",664040,2024,425,26.4,7.8,0.254,0.485,0.346,0.441,39.6,12.4,6.9,25.8,25.5,25.5,4.0,44.7,94.9549512,80.3,23.7,30.7,56.0,44.0,76.2,TB,21.2,0.04988235294117647,3.717485803768467,0.6955426787389263,0.7511376437084598,-1.6225012758616115,0.7999069794472982
274,"Stanton, Giancarlo",519317,2024,459,31.2,8.3,0.249,0.509,0.352,0.489,34.8,20.7,6.5,17.8,22.8,27.2,4.0,55.3,99.180033333,63.6,25.1,31.0,52.0,48.0,74.9,NYY,35.6,0.07755991285403051,6.4841781523614825,1.6657014140070876,0.6161756235344321,0.7323673799683363,-1.1456360203729208
275,"Abreu, Wilyer",677800,2024,447,28.0,8.9,0.229,0.418,0.317,0.403,33.7,11.1,7.5,23.3,31.5,24.0,1.4,50.5,95.552365543,68.4,23.1,28.2,45.0,55.0,76.4,BOS,17.5,0.039149888143176735,2.6340324563419237,1.0173994518276712,-0.4327732811516216,-0.44739162741071703,-0.8823335791950108
276,"Polanco, Jorge",593871,2024,468,29.3,9.8,0.226,0.399,0.309,0.395,35.9,8.9,5.3,26.3,29.9,23.8,5.7,37.4,93.755834657,66.2,21.5,24.0,46.0,53.6,77.6,SEA,14.8,0.03162393162393162,0.8334953875326314,0.7133037041924449,-1.6104303779570146,-0.6878689921464423,0.4830645785292218
277,"Adell, Jo",666176,2024,451,27.9,7.8,0.224,0.418,0.312,0.397,30.5,11.7,7.4,17.4,30.1,27.3,5.0,44.7,95.748719749,71.5,21.1,29.7,49.1,50.9,78.9,LAA,17.4,0.03858093126385809,1.988530355100699,1.6684896502181557,0.4758029457927652,-0.1043302687031154,-1.558859655851299
278,"Witt Jr., Bobby",677951,2024,709,15.0,8.0,0.315,0.577,0.407,0.458,35.7,14.3,5.6,24.9,27.7,25.3,2.2,48.3,96.499868141,72.3,15.2,32.1,36.7,63.3,84.8,KC,37.6,0.05303244005641749,5.113544090878221,-2.866975939629231,0.8076726073726069,-1.127185185132425,-0.9398813031287503
279,"Fraley, Jake",641584,2024,382,18.3,6.8,0.245,0.323,0.285,0.313,34.6,3.2,3.5,25.1,25.8,35.3,6.4,24.7,91.891008399,81.2,15.7,31.6,37.6,62.4,84.3,CIN,3.6,0.009424083769633508,-2.6935659813032604,-0.9822852991957325,1.1893326357005132,-1.1386506280433033,0.6298382715599509
280,"Freeman, Tyler",671289,2024,383,13.8,7.3,0.236,0.338,0.302,0.293,30.7,3.2,6.7,20.8,28.3,33.2,7.8,34.6,93.423975986,64.5,10.1,29.1,30.3,68.2,89.5,CLE,5.2,0.013577023498694517,-2.1438871139102407,-1.6735806646230054,0.022987109907881248,0.24255767030964243,-1.4214521841255137
281,"Crow-Armstrong, Pete",691718,2024,410,23.9,5.1,0.223,0.367,0.281,0.343,33.3,7.4,6.0,20.7,28.8,25.6,11.6,36.8,93.630440766,79.7,24.6,41.4,40.4,57.9,73.2,CHC,9.2,0.0224390243902439,-0.8644926259393138,1.489784487718011,1.9173483426071947,-2.1484229475517562,-0.16425286470678443
282,"Schuemann, Max",680474,2024,459,25.9,10.2,0.222,0.338,0.296,0.345,39.5,5.6,7.0,24.8,29.7,29.0,3.8,37.4,93.097394065,62.8,21.3,21.4,50.5,49.0,77.0,OAK,7.7,0.016775599128540306,-0.3251686557328631,0.5898985354506084,-2.010185743262237,-0.011056141108475637,0.6529654844520999
283,"Hernández, Enrique",571771,2024,393,19.6,6.9,0.233,0.362,0.285,0.324,36.0,4.8,8.0,23.2,31.1,30.1,2.8,41.5,93.89398972,69.0,17.3,26.4,39.2,60.3,82.3,LAD,7.3,0.01857506361323155,-0.4246581337920382,-0.37530082300950507,-0.18034694008569677,-0.535004040141357,-0.7133303077802239
284,"Hicks, Aaron",543305,2024,63,36.5,9.5,0.192,0.272,0.248,0.341,32.4,5.9,8.8,29.4,11.8,38.2,2.9,35.3,94.12647,61.7,26.4,26.6,47.4,50.0,73.6,LAA,1.3,0.020634920634920634,-0.8448023868543664,1.9958101008870441,-0.12046632732594367,2.2463686212075484,2.174515494489992
285,"Paris, Kyren",677347,2024,59,28.8,11.9,0.182,0.31,0.269,0.317,32.4,5.9,14.7,11.8,17.6,50.0,0.0,35.3,93.801852059,69.9,20.3,20.5,60.0,40.0,78.5,LAA,1.0,0.01694915254237288,-0.352161641559113,2.6590928272104817,0.32037968344520185,3.5312613658555234,-1.192441932603641
286,"Rosario, Eguy",666703,2024,57,35.1,3.5,0.196,0.392,0.274,0.402,41.2,14.7,5.9,20.6,17.6,35.3,5.9,47.1,94.79073697,59.3,26.6,34.7,65.9,34.1,71.9,SD,2.3,0.04035087719298245,1.834493178437861,3.0481392906194578,1.1039598131894515,0.49799486964341344,1.483885156159178
287,"Hensley, David",682073,2024,58,29.3,10.3,0.153,0.216,0.218,0.243,20.0,2.9,2.9,8.6,17.1,62.9,5.7,25.7,92.593416176,48.7,21.1,20.3,55.6,44.4,78.9,MIA,0.8,0.013793103448275864,-5.020653093951607,2.805367412970344,-0.03876265535385425,6.338084692467534,-1.6246430612288503
288,"Saggese, Thomas",695336,2024,52,26.9,3.8,0.202,0.312,0.248,0.308,45.7,2.9,5.7,28.6,31.4,20.0,11.4,25.7,92.411291143,64.4,13.4,41.2,40.0,60.0,86.6,STL,1.0,0.019230769230769232,-2.7968559430764217,0.2818419465097412,-0.35613252102937093,-3.638585065916901,1.5184203196428334
289,"Perdomo, Geraldo",672695,2024,388,14.9,9.3,0.231,0.314,0.281,0.282,28.9,3.1,3.1,25.4,31.3,29.9,7.2,25.8,92.044093913,58.9,7.8,19.3,27.5,71.1,89.6,AZ,2.7,0.006958762886597939,-3.600925771316556,-2.229225086676403,-2.1047429087262923,0.45018497527923534,-0.9701919295053343
290,"Tromp, Chadwick",644433,2024,54,31.5,1.9,0.244,0.327,0.252,0.36,38.9,2.8,8.3,33.3,19.4,30.6,5.6,36.1,93.663605,66.7,25.8,40.4,55.6,44.4,74.2,,0.0,0.0,-1.0712663770598012,1.0143661516246105,1.7598649824979784,-1.2416218457177173,3.4987209385522786
291,"García, Avisaíl",541645,2024,51,25.5,2.0,0.25,0.405,0.293,0.385,27.0,8.1,2.7,27.0,10.8,48.6,2.7,29.7,93.693700541,84.6,11.7,36.8,68.6,31.4,88.3,MIA,2.0,0.0392156862745098,-0.12571324037717196,-0.022622587490766344,4.597809377530221,0.8395767847892093,1.5862810380510053
292,"Haase, Eric",606992,2024,69,40.6,4.3,0.226,0.465,0.308,0.505,39.5,13.2,5.3,23.7,23.7,26.3,7.9,39.5,94.802505135,65.1,27.4,29.8,70.3,29.7,72.6,MIL,4.3,0.06231884057971014,3.3949054742622113,3.1155205415170424,0.13478728980126045,-1.020391603588827,1.77339006925438
293,"Ruiz, Esteury",665923,2024,65,30.8,6.2,0.181,0.341,0.281,0.365,28.2,10.3,10.3,23.1,25.6,23.1,7.7,35.9,93.251287027,67.2,14.6,33.1,61.0,39.0,84.1,OAK,2.5,0.038461538461538464,-0.07420790294993437,2.4284035488190723,0.18693984647652898,-0.6210687376804431,-0.5861034003383792
294,"Martinez, J.D.",502110,2024,495,28.5,9.9,0.256,0.472,0.351,0.456,39.3,14.9,4.4,26.8,23.7,27.5,2.4,46.1,95.173257041,69.0,18.1,29.7,60.1,39.9,81.9,NYM,18.9,0.03818181818181818,3.7002643564389297,0.08563419857202327,-0.2503104378559556,-0.32030759555181415,1.2282837856946405
295,"Kreidler, Ryan",668952,2024,65,29.2,9.2,0.17,0.252,0.231,0.272,17.5,5.0,2.5,17.5,32.5,30.0,12.5,22.5,91.379689474,68.9,26.4,23.7,48.4,48.4,72.5,DET,1.0,0.015384615384615385,-4.6319195987703585,3.3890539359269063,-0.8397892766981009,0.8238533371194854,-1.459646375397949
296,"Dezenzo, Zach",701305,2024,65,33.8,4.6,0.223,0.435,0.298,0.432,30.0,10.0,7.5,20.0,20.0,35.0,7.5,40.0,94.7258265,67.7,27.9,33.9,40.0,60.0,72.1,HOU,2.0,0.03076923076923077,1.1971337329488998,1.860242468956809,1.7259194259475723,0.5534692186391401,0.19943101429973692
297,"Reyes, Pablo",622569,2024,64,29.7,4.7,0.211,0.3,0.251,0.323,31.7,4.9,0.0,24.4,29.3,36.6,4.9,31.7,93.163830732,58.2,19.2,23.7,21.4,75.0,79.5,BOS,0.0,0.0,-3.265665323410284,-0.2520287537630697,-0.6174793933743304,0.7061368093092709,0.21647496241313652
298,"Dalbec, Bobby",666915,2024,93,46.2,8.6,0.119,0.171,0.18,0.259,19.5,2.4,9.8,17.1,34.1,22.0,14.6,39.0,93.55091125,65.1,41.2,28.4,43.1,56.9,58.8,BOS,0.9,0.00967741935483871,-4.003419570056238,7.203520608087484,-1.0458534258632923,0.5611528880133787,-1.0656335911493542
299,"Bliss, Ryan",669208,2024,71,31.0,7.0,0.217,0.426,0.31,0.424,37.2,9.3,16.3,11.6,16.3,27.9,14.0,46.5,94.910871282,77.9,26.6,21.0,60.0,36.0,69.7,SEA,2.2,0.03098591549295775,2.538085090930859,3.562343092904648,0.6272010158234224,0.4658498955969536,0.00896273342396342
300,"López, Jack",605346,2024,71,35.2,2.8,0.178,0.236,0.201,0.288,32.6,2.3,2.3,23.3,23.3,41.9,4.7,32.6,92.725670488,69.3,21.2,42.7,58.5,37.7,76.9,LAA,0.6,0.008450704225352112,-3.856647013116214,2.768474676012124,2.5198753905078157,0.05623094960408942,1.3832043542907688
301,"Pages, Andy",681624,2024,443,24.4,6.5,0.251,0.422,0.321,0.394,40.8,10.7,6.4,26.1,31.8,20.1,4.7,40.1,94.262423423,71.0,19.5,30.7,41.6,58.4,80.5,LAD,15.0,0.033860045146726865,1.698283164525072,-0.18123697091170704,-0.41512531155053156,-2.357127574701696,0.2387482564688122
302,"Clase, Jonatan",682729,2024,66,25.8,4.5,0.169,0.243,0.217,0.245,27.3,0.0,6.8,20.5,40.9,27.3,4.5,29.5,92.426653953,73.4,17.0,29.5,43.9,53.7,79.8,TOR,0.7,0.010606060606060605,-4.27464333320813,2.0890075304686193,0.08307564294415588,-1.4468025092370729,-1.9842544531050974
303,"Pérez, Wenceel",672761,2024,425,21.6,7.5,0.241,0.354,0.291,0.337,37.7,4.3,6.3,26.7,31.3,26.7,3.7,30.6,92.757975085,65.0,15.2,28.4,33.3,66.7,84.2,DET,9.3,0.02188235294117647,-1.1379656984934055,-1.1395305463505236,-0.9721489679828058,-1.3291667360940016,-0.0182440735892178
304,"Crawford, Brandon",543063,2024,80,32.5,10.0,0.207,0.308,0.275,0.351,37.8,6.7,2.2,28.9,31.1,28.9,2.2,33.3,93.537666,71.8,23.1,29.0,66.7,33.3,76.9,STL,1.0,0.0125,-0.780274804825088,1.9537581095603909,-0.8952546498488548,-0.7619756225517765,1.873256504604728
305,"Canha, Mark",592192,2024,462,20.8,11.0,0.212,0.306,0.288,0.296,31.5,3.3,5.0,22.8,25.5,40.4,3.0,37.4,93.219326921,59.4,17.0,23.6,33.8,66.2,82.8,SF,7.6,0.01645021645021645,-1.9523552579265064,-0.6900054243322451,-1.0476738774059222,1.9863072458810167,-0.6110742260090335
306,"Baddoo, Akil",668731,2024,82,32.9,9.8,0.197,0.397,0.297,0.401,25.5,12.8,6.4,19.1,31.9,29.8,0.0,46.8,94.810264681,65.6,24.8,30.4,56.3,43.8,73.3,DET,2.9,0.03536585365853658,1.7523192673890393,2.701798562618034,-0.06369555256158341,0.9060382410928742,-1.682694488781285
307,"Tatis Jr., Fernando",665487,2024,438,21.9,7.3,0.298,0.538,0.387,0.47,33.7,14.5,6.9,24.8,18.5,31.4,3.6,55.8,97.109953874,74.4,19.6,28.2,50.2,49.3,80.2,SD,24.6,0.05616438356164384,5.5333262563346635,-1.0648405333622444,1.571972791488027,0.4879277114764065,0.17823646488671874
308,"Madris, Bligh",676632,2024,75,26.7,8.0,0.228,0.363,0.287,0.356,37.5,10.4,8.3,20.8,31.3,22.9,6.3,35.4,93.689374375,77.3,22.9,19.4,53.8,46.2,77.1,DET,1.1,0.014666666666666668,0.35392843707847466,1.801924042779463,-0.9825961800041404,-1.1827981678643682,0.028426105791511308
