,Name,player_id,year,pa,k_percent,bb_percent,xba,xslg,xwoba,xwobacon,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,iz_contact_percent,team_abbrev,xhr,xhr_rate,PC1,PC2,PC3,PC4,PC5
319,"Johnson, Bryce",669369,2024,73,16.4,9.6,0.258,0.307,0.291,0.305,37.0,0.0,0.0,24.1,25.9,29.6,20.4,24.1,91.923185778,73.4,10.6,27.4,37.8,59.5,89.4,,0.0,0.0,-4.189828073562165,-1.514640779155269,-0.7569408212727508,-1.0546383490827325,1.6331102176176278
320,"Azocar, José",640492,2024,79,24.1,6.3,0.231,0.306,0.264,0.317,30.9,3.6,3.6,25.5,23.6,32.7,10.9,30.9,92.886593396,78.0,17.5,49.7,45.6,53.2,81.6,SD,0.2,0.002531645569620253,-2.9001458105486613,0.48657832209213453,2.761709532294192,-1.3982244276465514,1.190321994010632
321,"Shewmake, Braden",669699,2024,67,14.9,1.5,0.172,0.246,0.188,0.213,28.6,3.6,3.6,10.7,32.1,44.6,5.4,26.8,92.007375636,71.1,14.8,37.0,51.4,48.6,84.0,CWS,1.0,0.014925373134328358,-5.231078160798781,1.748754905552777,2.6109509473700827,0.09898675712457505,-2.648018349528251
322,"Gamel, Ben",592325,2024,99,24.2,18.2,0.259,0.368,0.343,0.384,47.4,10.5,1.8,31.6,21.1,31.6,3.5,36.8,93.916850714,58.8,25.4,17.0,65.6,34.4,74.6,HOU,0.2,0.00202020202020202,1.353924289350038,-0.4524031332533369,-3.832154590332427,1.4304028254984096,3.7893975381670875
323,"Gomes, Yan",543228,2024,96,37.5,2.1,0.212,0.364,0.259,0.402,42.1,10.5,7.0,24.6,28.1,22.8,7.0,42.1,93.980665,72.8,22.3,44.0,54.3,45.7,77.7,CHC,2.7,0.028125,0.6990527889172836,2.6423313910209645,1.6908138404903192,-2.9354537739556017,1.4338453846965358
324,"Caballero, José",676609,2024,483,27.5,5.6,0.217,0.315,0.267,0.333,33.8,5.1,4.8,22.6,28.0,25.5,13.4,25.2,92.133024917,66.7,17.9,35.0,47.9,50.4,81.3,TB,9.3,0.01925465838509317,-2.6198250829004572,1.213518573796093,0.002377468982354336,-1.5143457146932429,0.6222573906549249
325,"Noda, Ryan",676116,2024,111,33.3,12.6,0.158,0.263,0.25,0.297,23.7,5.1,10.2,15.3,28.8,28.8,10.2,33.9,93.479950357,62.5,26.5,20.0,58.3,39.6,73.5,OAK,0.8,0.007207207207207207,-2.2883201286962285,4.271913606964349,-1.9740963483529537,2.039827046230717,-1.2264224423281689
326,"Urías, Luis",649966,2024,109,31.2,8.3,0.206,0.4,0.318,0.402,43.3,11.7,6.7,21.7,30.0,23.3,6.7,35.0,93.8120925,65.8,18.9,28.2,32.8,67.2,80.4,SEA,3.7,0.03394495412844037,1.0631460461412785,0.7285855864953823,-1.3948088118778479,-1.6128994616816146,-0.007707726151871708
327,"Myers, Dane",667472,2024,108,33.3,7.4,0.236,0.4,0.317,0.435,32.8,11.5,1.6,27.9,23.0,34.4,1.6,47.5,94.535582623,60.1,24.6,26.2,41.5,58.5,73.9,MIA,3.8,0.03518518518518518,1.719673028080028,0.3353098196442308,-0.2600923388190918,1.1103916806361591,1.082235184381121
328,"McCutchen, Andrew",457705,2024,515,25.8,11.3,0.227,0.421,0.327,0.391,31.9,12.0,5.7,19.2,26.8,32.8,3.5,36.9,93.831123091,65.6,22.3,17.2,55.2,44.8,77.7,PIT,20.5,0.039805825242718446,1.5532620817676603,1.0528219621005521,-1.4905559809559594,1.325233060581618,-0.7736336888413076
329,"Gelof, Zack",680869,2024,547,34.4,6.9,0.199,0.347,0.271,0.377,34.4,8.8,6.3,22.4,26.5,31.5,4.1,37.2,93.611147032,72.1,26.1,29.7,62.8,36.8,73.5,OAK,15.4,0.028153564899451554,0.172344250062972,2.9878745078508646,0.3908537849170912,-0.23766183418631318,0.7152953586909875
330,"Kjerstad, Heston",677008,2024,114,28.9,8.8,0.217,0.352,0.297,0.367,28.8,6.1,7.6,24.2,25.8,31.8,4.5,43.9,94.562960909,78.5,17.8,35.0,57.7,42.3,82.2,BAL,2.7,0.02368421052631579,0.34026321752564914,1.5023600142380693,1.3991567558850857,-0.011093981441560014,0.02713875179321141
331,"Sánchez, Ali",645305,2024,96,25.0,4.2,0.177,0.256,0.213,0.258,26.9,4.5,3.0,20.9,22.4,35.8,13.4,35.8,93.091231967,61.1,15.3,34.5,40.0,60.0,83.1,MIA,0.4,0.004166666666666667,-4.513233555112719,1.3459729994739797,1.0468509012592122,0.9403630854818192,-0.082165867192658
332,"Conforto, Michael",624424,2024,488,24.2,8.6,0.257,0.479,0.35,0.43,33.7,11.8,9.0,23.2,24.8,27.9,2.8,46.0,95.249550592,65.4,18.0,24.5,44.2,55.8,82.0,SF,20.8,0.042622950819672135,3.281286464247565,-0.4673146407713162,-0.38935558404633236,0.33280294297101376,-0.6262005363909009
333,"Varsho, Daulton",662139,2024,513,26.7,9.4,0.186,0.316,0.261,0.304,30.2,6.2,9.0,19.1,36.1,19.8,9.9,34.0,93.276618121,70.3,20.0,25.9,44.6,55.0,79.3,TOR,16.0,0.031189083820662766,-1.4407439463103184,2.333748956123139,-1.406978893144826,-1.192097667167287,-1.7732527607453838
334,"Knizner, Andrew",668800,2024,93,23.7,1.1,0.232,0.324,0.248,0.314,33.3,4.3,5.8,26.1,23.2,34.8,5.8,34.8,93.279161304,70.7,19.8,41.8,37.8,62.2,80.2,TEX,1.9,0.020430107526881718,-2.0211660434177916,0.12643969475585443,2.686678432167317,-1.153809632039489,0.6257986688142901
335,"Jeffers, Ryan",680777,2024,465,20.2,6.9,0.227,0.386,0.304,0.336,31.7,8.3,5.8,21.8,30.2,27.7,6.2,33.8,93.57098291,64.1,16.0,34.3,36.6,63.1,84.0,MIN,17.7,0.03806451612903226,-0.4342505452642551,-0.3542948525817498,0.08671267856280752,-0.8188856626067206,-1.3660467156987168
336,"Lukes, Nathan",664770,2024,91,9.9,11.0,0.284,0.389,0.326,0.316,36.1,4.2,4.2,26.4,26.4,31.9,5.6,27.8,92.382525,73.0,11.5,29.8,22.6,77.4,86.9,TOR,0.8,0.008791208791208791,-1.537503319614243,-3.56398963398598,-0.2531757219741415,-0.7629905512538084,-0.013446970602840391
337,"Cowser, Colton",681297,2024,561,30.7,9.3,0.23,0.437,0.326,0.433,32.1,13.6,7.6,22.4,21.2,31.2,3.9,46.1,95.374243739,64.0,20.1,25.0,56.7,43.3,79.2,BAL,22.4,0.03992869875222816,2.8861512366923088,1.2098516193756979,-0.2712030415565181,1.2910832633298928,0.07272795489369308
338,"Lopez, Otto",672640,2024,434,17.3,5.8,0.274,0.394,0.313,0.354,30.4,5.1,4.8,27.4,16.6,41.9,4.2,38.9,93.902266182,70.4,12.4,32.0,43.3,56.7,87.1,MIA,6.1,0.014055299539170505,-0.47909724240858254,-2.129277168690172,2.0286848447408983,1.1378333167289902,0.9405853787897495
339,"Madrigal, Nick",663611,2024,94,10.6,4.3,0.243,0.291,0.27,0.265,27.3,0.0,0.0,23.4,20.8,46.8,7.8,18.2,91.287135867,67.0,5.9,33.5,21.3,78.7,94.1,,0.0,0.0,-5.564844191904449,-3.2487385198561394,1.8324050275841754,0.8759782639472735,-0.27085613432815386
340,"Kim, Ha-Seong",673490,2024,470,16.4,12.3,0.245,0.352,0.313,0.323,36.6,4.8,4.8,23.7,29.7,29.1,7.2,35.4,93.412597329,55.2,13.4,18.6,24.9,74.6,86.4,SD,10.7,0.02276595744680851,-1.0861617394495133,-2.1259604182326197,-2.914994703705757,0.6765678521617434,-0.6906894033633115
341,"Herrera, Jose",645444,2024,114,23.7,7.9,0.214,0.268,0.25,0.289,34.6,0.0,7.7,25.6,17.9,35.9,12.8,23.1,91.592607714,61.2,16.4,19.9,50.0,50.0,83.0,AZ,1.2,0.010526315789473684,-3.77862521318605,0.3812262209273783,-1.2305405331334018,1.0871004565522422,1.733278818783954
342,"Harris, Brett",695391,2024,123,20.3,13.8,0.184,0.278,0.274,0.26,26.6,5.1,2.5,19.0,39.2,25.3,8.9,36.7,94.151668718,60.9,17.2,19.1,46.7,51.1,80.3,OAK,3.1,0.025203252032520326,-2.4156434270878493,1.2346496437970538,-3.0005506634819943,0.8702781157392409,-2.288368111861885
343,"Encarnacion, Jerar",666464,2024,119,28.6,4.2,0.275,0.501,0.348,0.476,37.5,15.0,11.3,20.0,12.5,38.8,1.3,58.8,97.868597468,60.7,18.6,34.8,48.1,51.9,81.4,SF,3.7,0.031092436974789917,5.109258533730836,-0.21683210011981555,2.4050101431426207,1.8081861232749514,0.4273754636965467
344,"Call, Alex",669743,2024,113,16.8,10.6,0.245,0.366,0.317,0.326,28.7,5.0,6.3,27.5,27.5,33.8,0.0,32.5,92.66518325,65.0,15.0,19.5,32.6,63.0,83.8,WSH,2.7,0.023893805309734516,-0.820681850085879,-1.9580994162226464,-1.286332028321533,0.9662058965200955,-0.8332886154944288
345,"Allen, Nick",669397,2024,105,19.0,4.8,0.202,0.246,0.22,0.247,25.0,1.3,0.0,18.8,25.0,45.0,10.0,17.5,90.966985405,66.3,11.9,27.3,40.5,52.4,86.6,OAK,0.9,0.008571428571428572,-6.11906279462569,-0.012643152095940538,0.8967061937543831,1.2373037147356432,-0.6644619795237632
346,"McCann, Kyle",668832,2024,157,37.6,10.2,0.184,0.351,0.274,0.392,30.9,12.3,8.6,21.0,22.2,32.1,3.7,38.3,94.549176173,66.8,35.5,25.4,70.4,29.6,64.5,OAK,3.9,0.02484076433121019,1.2379487380788239,4.559039584283734,-0.436907031489689,1.4800614213397751,0.8424871939622931
347,"Outman, James",681546,2024,156,35.3,10.3,0.198,0.319,0.282,0.372,38.3,4.9,11.1,22.2,32.1,22.2,7.4,38.3,94.412729136,67.3,25.0,28.2,65.6,34.4,74.5,LAD,4.3,0.027564102564102563,0.5093576604260718,3.3611914519430264,-1.5317657670537974,-0.9217307485453393,0.5335697950570699
348,"Grissom, Vaughn",687093,2024,114,21.1,6.1,0.254,0.337,0.287,0.332,41.5,4.9,3.7,28.0,23.2,36.6,3.7,32.9,92.913035244,62.0,12.7,29.5,41.8,58.2,87.3,BOS,0.3,0.002631578947368421,-1.6192011589724347,-1.7504027721146564,-0.09761134757041277,-0.10536051460945234,1.721896912809409
349,"Mastrobuoni, Miles",670156,2024,106,16.0,6.6,0.261,0.358,0.294,0.321,32.9,2.4,6.1,30.5,26.8,30.5,3.7,31.7,92.222572963,56.8,14.8,26.0,32.0,68.0,85.2,CHC,0.1,0.0009433962264150943,-2.081656008633147,-2.4950809340028046,-1.0042259759287373,0.02215998161458929,0.6227597930043636
350,"Albies, Ozzie",645277,2024,435,14.9,6.2,0.246,0.387,0.302,0.323,33.4,6.2,4.7,24.9,34.0,28.7,1.2,32.0,92.617553798,82.6,15.5,33.6,31.3,68.7,84.4,ATL,11.8,0.027126436781609198,-0.8653757975780337,-1.3966160620419366,1.200425616423242,-2.2641192252743214,-1.2255505103207096
351,"Busch, Michael",683737,2024,567,28.6,11.1,0.217,0.418,0.319,0.399,36.4,11.2,6.5,20.7,29.0,28.1,4.1,39.9,94.35127744,68.6,20.2,23.2,51.1,48.2,79.6,CHC,21.2,0.03738977072310406,1.7508975698579925,1.1920935103042427,-1.2744290581760087,0.045025872768591504,-0.4521964707128776
352,"Adams, Riley",656180,2024,130,26.9,7.7,0.219,0.341,0.281,0.345,30.1,7.2,2.4,28.9,24.1,36.1,1.2,43.4,95.170948072,68.4,20.1,30.2,46.8,53.2,79.3,WSH,1.9,0.014615384615384615,-0.37154375936361184,0.27571208121973506,0.7257891153186704,0.9942373371416918,0.8205032154086229
353,"Encarnacion-Strand, Christian",687952,2024,123,28.5,3.3,0.24,0.432,0.299,0.402,27.7,8.4,4.8,22.9,24.1,32.5,6.0,37.3,94.262071341,72.1,15.2,40.5,53.2,46.8,84.8,CIN,2.4,0.01951219512195122,0.13924212168706127,0.5581501044502518,2.558320221751358,-0.4909810150811035,0.1329905806828083
354,"Wilson Jr., Jacob",805779,2024,103,9.7,7.8,0.266,0.31,0.287,0.278,26.2,0.0,0.0,29.8,25.0,40.5,4.8,19.0,91.295347952,65.4,6.9,36.8,21.1,78.9,92.2,,0.0,0.0,-4.76364290530645,-4.070568637026725,0.936768287250557,0.23515792130456675,0.027787695038401117
355,"Baldwin, Brooks",681460,2024,121,25.6,5.0,0.216,0.343,0.262,0.329,34.5,4.8,6.0,26.2,39.3,16.7,7.1,32.1,92.495436709,78.0,21.8,35.0,32.4,64.8,77.6,CWS,2.1,0.017355371900826446,-1.771374551478846,0.8975725608730247,0.04772982833268252,-3.6209732203196054,-0.45060703927352874
356,"Thomas, Lane",657041,2024,528,25.9,8.3,0.242,0.377,0.307,0.374,31.5,7.4,7.1,27.9,27.4,27.1,3.2,40.6,94.3557595,64.0,17.2,22.9,40.9,59.1,82.8,CLE,14.7,0.02784090909090909,0.6277344813073953,-0.3939335745194449,-0.9874427025907249,0.19573647613377979,0.01133255635403932
357,"Monasterio, Andruw",655316,2024,142,28.2,11.3,0.211,0.342,0.291,0.349,36.5,9.4,8.2,24.7,27.1,25.9,4.7,41.2,93.585745952,64.3,17.2,20.5,45.5,53.0,81.3,MIL,1.3,0.009154929577464789,0.015469751258214592,0.7236424195877542,-2.043324543849014,0.37183894120734595,0.3319641890944151
358,"Maile, Luke",571912,2024,154,33.8,8.4,0.177,0.252,0.241,0.298,37.6,3.5,4.7,25.9,25.9,32.9,7.1,24.7,91.660711687,66.1,16.9,26.0,56.3,43.7,82.6,CIN,1.7,0.01103896103896104,-3.331057639838542,1.939358887356378,-1.19260917032911,-0.16709761646019874,1.6083794225427686
359,"Bryant, Kris",592178,2024,155,31.0,8.4,0.211,0.315,0.29,0.352,39.5,4.7,3.5,31.4,29.1,24.4,7.0,30.2,92.39417314,66.5,23.8,31.2,61.4,38.6,76.2,COL,1.7,0.01096774193548387,-1.385883752289293,1.4152026728175362,-1.2697792528132896,-1.5145072783550277,2.6172711440616405
360,"Maldonado, Martín",455117,2024,147,34.7,5.4,0.16,0.288,0.222,0.307,29.9,8.0,4.6,19.5,35.6,24.1,8.0,35.6,93.412792619,64.1,23.8,31.6,65.4,34.6,75.6,CWS,3.4,0.02312925170068027,-2.0905669758648773,4.22720388025434,-0.4574953055273508,-0.8069085580842957,-0.63081940079147
361,"Langeliers, Shea",669127,2024,534,27.2,7.7,0.241,0.456,0.328,0.419,35.3,12.8,5.2,21.6,29.4,28.0,2.9,44.0,95.451719446,69.5,19.7,30.7,49.4,50.6,80.3,OAK,28.0,0.052434456928838954,2.8481973744552733,0.6036707226123996,0.2665722572971812,-0.6303000257626549,-0.7621133517279977
362,"Casali, Curt",592200,2024,125,17.6,10.4,0.206,0.267,0.265,0.258,34.1,1.1,3.4,25.0,37.5,25.0,8.0,17.0,90.480278353,65.3,15.2,18.7,35.7,59.5,84.8,SF,1.1,0.0088,-4.565023568919123,-0.525111722427999,-3.000945215732755,-1.1809622144948335,-0.5179815080118665
363,"Ramos, Heliot",671218,2024,518,26.1,7.1,0.25,0.481,0.338,0.434,34.3,14.5,5.5,18.9,22.1,34.0,4.1,47.5,95.895956716,72.3,18.3,29.9,51.9,48.1,81.7,SF,24.9,0.04806949806949807,3.3788400731571313,0.45917642610164133,1.3342939198861896,0.4674035450294237,-0.541090364554351
364,"Blanco, Dairon",680118,2024,132,24.2,6.1,0.212,0.37,0.279,0.338,26.7,7.8,10.0,14.4,18.9,36.7,12.2,37.8,94.051881852,74.0,26.2,31.0,48.6,48.6,72.6,KC,3.6,0.027272727272727275,-0.5442207611718681,2.3955156950333487,1.9314699336840748,1.1089073841768224,-0.8893738328533827
365,"Stefanic, Michael",683021,2024,124,16.1,8.1,0.205,0.256,0.254,0.246,24.2,1.1,1.1,26.4,24.2,40.7,6.6,26.4,91.314226629,55.3,4.6,23.2,29.2,70.8,93.4,LAA,0.1,0.0008064516129032258,-5.423401109674078,-2.1895002320759556,-0.9220969190776316,2.0748641097032503,-0.5479691414776162
366,"Sheets, Gavin",657757,2024,501,21.2,8.6,0.251,0.38,0.309,0.353,41.1,5.7,6.3,29.3,27.3,27.0,4.0,35.3,93.510571585,62.4,16.2,32.4,34.2,65.5,83.8,CWS,9.3,0.018562874251497007,-0.14948298503808377,-1.5948776333617545,-0.853437196997148,-1.155530361937641,0.95348012439677
367,"Mead, Curtis",678554,2024,132,22.7,4.5,0.24,0.349,0.28,0.334,36.6,4.3,9.7,23.7,28.0,31.2,3.2,36.6,93.833557742,71.4,17.8,36.7,32.6,67.4,82.2,TB,0.9,0.006818181818181819,-0.9005985508353788,-0.3862401002301281,1.3564654537139245,-1.2373649399017115,-0.1341760520111816
368,"Meyers, Jake",676694,2024,513,22.8,6.8,0.235,0.382,0.304,0.355,34.8,6.8,8.3,22.5,25.6,30.8,5.7,37.0,93.726741906,68.1,15.9,31.2,49.8,49.8,83.2,HOU,11.0,0.021442495126705652,-0.01633917870077875,0.1058777813223323,0.40073822348199606,-0.3176862036775731,-0.04790894730648326
369,"Aranda, Jonathan",666018,2024,143,22.4,8.4,0.257,0.518,0.362,0.434,34.0,16.5,8.2,20.6,18.6,35.1,1.0,48.5,95.365481959,63.9,16.4,25.6,36.6,63.4,83.6,TB,7.4,0.05174825174825175,4.1097639711983875,-1.1383289619479422,0.4261293851853074,1.3584446103568601,-1.0959096441460443
370,"Chaparro, Andrés",665953,2024,132,18.2,5.3,0.226,0.392,0.301,0.33,27.8,6.2,8.2,19.6,34.0,27.8,4.1,33.0,93.216540722,77.1,14.4,32.0,48.3,50.6,85.6,WSH,4.8,0.03636363636363636,-0.4919301216285664,0.30090813952546847,1.1102998369515236,-1.375860963997557,-2.230173496600499
371,"Walker, Christian",572233,2024,552,24.1,10.0,0.246,0.457,0.351,0.424,35.0,13.3,7.1,23.2,28.0,25.1,3.1,48.0,96.011102521,73.1,17.5,24.3,48.8,51.2,82.5,AZ,25.2,0.04565217391304348,3.557558775671557,0.07143403114890301,-0.44121992153629264,-0.269113726256353,-0.7066197095691353
372,"Bogaerts, Xander",593428,2024,463,17.1,6.0,0.262,0.382,0.305,0.342,32.1,5.1,3.4,27.6,24.8,36.1,2.8,33.2,93.133969802,59.8,11.4,25.8,37.3,62.7,88.6,SD,11.8,0.025485961123110152,-1.0278580045506511,-2.4179572956215347,-0.14631275325699564,0.5684960079860895,0.06303365820090949
373,"Dubón, Mauricio",643289,2024,428,12.9,3.7,0.248,0.33,0.272,0.293,30.4,2.8,3.1,25.1,29.6,33.5,5.4,26.5,92.011502977,79.4,15.9,41.2,24.3,75.1,83.7,HOU,3.5,0.008177570093457943,-3.3328079667161337,-1.7301873188536325,2.4519510295844937,-1.9311513596092191,-0.5504246506224926
374,"Soler, Jorge",624585,2024,574,24.6,11.8,0.244,0.447,0.346,0.412,33.4,12.6,7.3,22.5,28.7,24.7,4.2,44.1,95.262490702,64.8,17.1,26.8,53.6,46.4,82.9,ATL,24.2,0.0421602787456446,2.8596238993514147,0.23264258667232654,-1.1851224618955025,0.1488322555427314,-0.772981065981899
375,"Wisdom, Patrick",621550,2024,174,33.9,5.7,0.184,0.419,0.288,0.402,23.8,15.8,7.9,11.9,43.6,13.9,5.9,48.5,95.721041717,71.3,22.3,25.7,58.0,42.0,77.7,CHC,9.2,0.052873563218390804,2.3438561889265346,4.273457534304016,-0.4884901853436752,-1.337645047692343,-3.9266469503084194
376,"Arias, Gabriel",672356,2024,161,32.9,3.7,0.221,0.368,0.274,0.389,35.6,7.9,6.9,24.8,15.8,38.6,5.9,36.6,94.824434059,80.1,29.0,40.1,58.6,41.4,70.1,CLE,3.2,0.01987577639751553,0.38418493518638264,2.4523521260379297,3.252216230199309,-0.25142891641984383,2.230031602218844
377,"Carter, Evan",694497,2024,162,26.5,9.3,0.208,0.332,0.281,0.331,33.3,5.9,5.9,22.5,31.4,29.4,4.9,32.4,92.58927951,56.0,15.7,18.5,49.1,50.9,83.8,TEX,4.9,0.030246913580246917,-1.2492108822858299,0.57696949085812,-2.465705934081708,0.5844658569991777,-0.6333129938206151
378,"Bethancourt, Christian",542194,2024,147,24.5,3.4,0.218,0.36,0.267,0.335,25.7,7.6,4.8,19.0,27.6,31.4,8.6,41.9,94.266459184,77.5,22.9,48.4,42.8,56.5,75.4,CHC,5.8,0.03945578231292517,-0.7585114903627199,1.7161947286504313,3.5262320825205458,-1.2215910249002868,-1.3330029392567015
379,"Barnes, Austin",605131,2024,156,23.1,9.0,0.229,0.292,0.27,0.306,30.2,1.9,3.8,27.4,21.7,40.6,4.7,31.1,92.484081538,69.8,15.7,19.6,53.8,44.2,83.4,LAD,1.1,0.007051282051282052,-2.6465201784933376,-0.18484557789724357,-0.33013444272139236,1.600793360748395,1.2403950442620097
380,"Cruz, Oneil",665833,2024,599,30.2,8.5,0.263,0.461,0.34,0.462,32.1,15.7,4.7,24.5,19.2,33.5,1.9,54.9,98.547881492,63.0,24.0,31.7,51.6,48.1,76.0,PIT,22.0,0.03672787979966611,4.489850819018266,0.5121609465550613,1.0246373026706446,1.7375218445253326,0.5868665811783822
381,"Urshela, Gio",570482,2024,461,15.6,5.0,0.264,0.389,0.302,0.337,38.6,4.9,5.2,26.8,21.9,36.4,3.8,28.4,92.394270526,72.7,15.8,36.4,29.6,70.4,83.9,ATL,8.9,0.019305856832971802,-1.2135175834724437,-2.2700144912937237,1.6004443170627776,-1.1642444566817944,0.7652224121306805
382,"Mountcastle, Ryan",663624,2024,507,22.5,5.3,0.272,0.445,0.332,0.408,36.2,8.8,7.9,25.8,21.1,33.2,3.0,45.2,95.370233104,75.8,16.2,38.0,41.4,58.6,83.8,BAL,16.5,0.03254437869822485,2.2195602400541032,-1.0826235619091598,2.3456237625904475,-0.734523584420635,0.4583123283292911
383,"Edman, Tommy",669242,2024,153,19.6,7.2,0.217,0.316,0.266,0.292,31.5,3.6,5.4,24.3,27.9,36.0,2.7,35.1,92.61181955,66.5,14.8,25.8,47.9,52.1,84.7,LAD,6.8,0.044444444444444446,-1.6100719623978257,-0.13957570636857086,-0.08914031115208819,0.31086308174418,-0.8432982645902466
384,"Wade, Tyler",642180,2024,156,18.6,7.1,0.244,0.31,0.281,0.306,38.1,1.8,2.7,24.8,25.7,29.2,15.9,17.7,90.890811782,62.4,11.4,25.7,44.0,54.7,86.4,SD,0.6,0.003846153846153846,-4.1217103450993315,-1.1405774883921453,-1.4126562364221444,-0.9489837238088512,1.5520996266282074
385,"France, Ty",664034,2024,535,21.3,7.1,0.228,0.387,0.303,0.343,30.5,7.3,6.2,23.2,25.9,33.0,4.3,40.0,94.004650595,74.7,16.4,26.9,46.5,53.5,83.6,CIN,13.8,0.025794392523364486,-0.03136610151403719,0.02647309321666417,0.7491653220444705,0.13780447010406335,-0.5379126826468325
386,"Kirilloff, Alex",666135,2024,178,26.4,8.4,0.218,0.419,0.31,0.384,27.0,11.3,9.6,18.3,24.3,35.7,0.9,40.9,94.70393913,69.8,20.1,29.8,54.8,45.2,79.9,MIN,4.5,0.025280898876404494,1.4444560861040643,1.402029738314136,1.0205610231542313,1.3240257598469116,-1.3380083677473886
387,"Walker, Jordan",691023,2024,178,28.1,5.6,0.211,0.363,0.278,0.355,29.3,9.5,4.3,23.3,26.7,34.5,1.7,43.1,95.20491069,68.4,16.9,32.4,60.2,39.8,83.1,STL,4.9,0.027528089887640453,0.2747636815291575,1.3481707808130279,1.2381822312819686,0.5712067881601952,-0.2991485276508625
388,"Turner, Justin",457759,2024,539,17.6,10.9,0.252,0.383,0.328,0.343,40.1,4.6,6.7,29.6,32.0,23.9,3.2,32.5,92.434680753,65.7,11.5,25.1,31.3,68.7,88.5,SEA,10.6,0.019666048237476808,-0.4288671226087676,-2.4035693644963185,-2.0983037096486465,-1.4582749058053452,0.17235809776929467
389,"Rodgers, Brendan",663898,2024,539,24.5,5.8,0.248,0.377,0.295,0.364,33.1,5.6,7.0,22.8,16.1,44.6,3.2,44.1,94.773964417,69.2,15.0,29.1,52.0,48.0,84.8,COL,12.7,0.023562152133580705,0.35071677514788696,-0.279468559761486,1.8978501585246752,1.8014539038736836,0.6780452859894089
390,"Noel, Jhonkensy",678877,2024,198,31.8,6.6,0.218,0.435,0.323,0.439,30.8,14.5,4.3,15.4,31.6,32.5,1.7,36.8,94.452483077,66.1,19.5,45.0,50.3,49.7,80.5,CLE,12.9,0.06515151515151515,2.2321915413276208,1.703329266849975,1.655084212474704,-0.7819369895632413,-2.110179036681012
391,"Rooker Jr., Brent",667670,2024,614,28.8,9.6,0.266,0.557,0.38,0.51,38.3,16.6,8.6,21.4,26.8,22.8,3.2,49.6,96.193453235,72.6,21.1,31.0,60.2,39.8,78.9,,0.0,0.0,4.885742921918207,0.6120434641803808,0.12969233670183727,-0.5861132497210763,0.747850678946755
392,"Biggio, Cavan",624415,2024,224,32.1,10.7,0.179,0.239,0.256,0.293,37.3,2.5,5.9,22.9,33.9,26.3,8.5,16.9,90.564125877,55.4,16.1,18.1,51.2,46.3,83.9,ATL,2.5,0.011160714285714286,-3.960278584243883,1.6316221794177148,-3.817244038557877,-0.3031784892988886,0.42747764130547905
393,"Tena, José",677588,2024,168,24.4,4.2,0.254,0.417,0.305,0.388,30.8,8.3,4.2,32.5,17.5,29.2,6.7,49.2,95.33151313,67.3,16.2,32.9,40.0,60.0,83.3,WSH,3.0,0.017857142857142856,0.7853670964784786,-1.10685947266769,1.4667144261030816,0.13621858489828975,1.684427595933158
394,"Martínez, Angel",682657,2024,169,19.5,8.9,0.223,0.304,0.271,0.294,29.8,1.7,5.8,23.1,27.3,36.4,5.8,32.2,92.477339068,62.0,11.8,35.9,32.8,65.6,88.2,CLE,3.0,0.01775147928994083,-2.8789894100929585,-1.012518457067042,0.23220350917285965,0.4126488532137157,-0.8634961629399447
395,"Cameron, Daz",663662,2024,186,27.4,7.0,0.222,0.353,0.282,0.354,36.4,8.3,6.6,21.5,24.0,37.2,2.5,48.8,95.191277667,68.3,18.1,26.0,60.0,37.6,81.1,OAK,3.8,0.020430107526881718,0.74873338443451,1.2092337167234226,0.5391009308602828,1.0743767373344772,0.34732425365717245
396,"Young, Jacob",696285,2024,521,19.6,5.8,0.253,0.317,0.286,0.319,28.1,1.6,2.9,25.7,16.7,39.0,13.0,28.9,92.486924676,60.3,12.1,27.8,36.6,59.1,84.8,WSH,3.0,0.005758157389635317,-3.419569956243283,-1.635277738108647,0.4723055336751468,1.4600290636745934,1.202335142094731
397,"Jimenez, Leo",677870,2024,210,28.1,5.7,0.228,0.361,0.311,0.37,40.7,8.1,7.3,26.8,23.6,27.6,6.5,33.3,92.763416942,64.3,19.6,27.9,44.4,55.6,80.0,,0.0,0.0,-0.532287179659932,0.1428756131459919,-0.61800094027274,-0.816282071053645,1.822193109229656
398,"Smith, Will",669257,2024,544,19.3,9.4,0.242,0.446,0.334,0.375,38.3,10.8,8.4,22.2,32.2,24.3,1.8,42.0,93.929159392,66.5,15.5,26.3,34.2,65.8,84.5,LAD,19.5,0.035845588235294115,1.8355345671697072,-1.0386731792299382,-1.1410239279959147,-1.0369787708458609,-1.4124557919063083
399,"Julks, Corey",667452,2024,189,26.5,7.9,0.213,0.306,0.265,0.321,33.9,3.2,4.8,25.8,31.5,30.6,4.0,29.0,92.479937742,61.2,18.0,30.5,41.5,58.5,82.0,CWS,2.7,0.014285714285714287,-2.375057474602182,0.2437260450389147,-0.9196850189502089,-0.453043366759935,0.16547635649692283
